DOI,title,publication_date,total_size_kb,num_files,codebook,verified_note,bash,stata,julia,python,R,C,C++,Matlab,fortran,SAS,Java,SPSS,Mathematica,PHP,Scilab,ArcGIS,code_sum
10.7910/DVN/24937,"On The Validity Of The Regression Discontinuity Design For Estimating Electoral Effects: New Evidence From Over 40,000 Close Races",2014-03-18,21460.64,4,[],False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10.7910/DVN/27499,"Competency Costs in Foreign Affairs: Presidential Performance in International Conflicts and Domestic Legislative Success, 1953-2001",2014-10-03,423.99,4,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/ASBWSA,"Activation, Conversion, or Reinforcement? The Impact of Partisan News Exposure on Vote Choice",2013-04-15,263.97,3,[],False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10.7910/DVN/AZTWDW,"Working Twice as Hard to Get Half as Far: Race, Work Ethic, and America’s Deserving Poor",2013-04-15,112.86,8,['DeSante 2013 Codebook.smcl'],False,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
10.7910/DVN/WZR4UH,Do better monitoring institutions increase leadership quality in community organizations? Evidence from Uganda,2013-08-27,271.9,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/UA9G8U,Do Perceptions of Ballot Secrecy Influence Turnout? Results from a Field Experiment,2013-02-12,58437.71,5,[],False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10.7910/DVN/26867,The Effect of Fact-Checking on Elites: A Field Experiment on U.S. State Legislators,2014-07-31,47.24,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/PZAOO6,Deep Interactions with MRP: Election Turnout and Voting Patterns Among Small Electoral Subgroups,2012-07-27,9604.92,2,[],False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/26457,No News is News: Non-Ignorable Non-Response in Roll-Call Data Analysis,2014-06-10,143.03,10,['UN_codebook.txt'],False,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
10.7910/DVN/T1WGWG,Appropriators not Position Takers: The Distorting Effects of Electoral Incentives on Congressional Representation,2012-10-29,47036.7,3,[],False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/26652,The Elusive Search for Presidential Power,2014-07-08,514.44,4,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26516,The Effect of Inequality and Social Identity on Party Strategies,2014-06-14,4208.54,2,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27293,Emotional Substrates of White Racial Attitudes,2014-09-08,26.47,4,[],False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10.7910/DVN/PBAW0O,Why Do Partisan Media Polarize Viewers?,2012-10-29,15.13,3,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/SZK4NF,Spatial and Temporal Proximity: Examining the Effects of Protests on Political Attitudes,2013-07-29,3266.54,5,"['Codebook_AJPS_Protests.pdf', 'LNS 2006 Codebook .pdf']",False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/XS1SDX,Elections and Deceptions: An Experimental Study on the Behavioral Effects of Democracy,2013-08-27,188.03,6,['AJPS36207_codebook.pdf'],False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10.7910/DVN/24506,Rewarding Bad Behavior: How Governments Respond to Terrorism in Civil War,2014-02-24,618.32,3,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/24800,Social Identity and Electoral Accountability,2014-03-18,806.34,12,[],False,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10.7910/DVN/27512,The Productivity Consequences of Political Turnover: Firm-Level Evidence from Ukraine's Orange Revolution,2014-10-13,7933.59,6,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/26783,Women Don't Run? Election Aversion and Candidate Entry,2014-07-21,24.71,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26555,Testing What Matters (If You Must Test at All): A Context-Driven Approach to Substantive and Statistical Significance,2014-06-23,163.66,2,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24128,"Parties and Policymaking in Multiparty Governments: The Legislative Median, Ministerial Autonomy, and the Coalition Compromise",2014-02-24,199.0,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/0AQGPL,Measuring Ethnic Voting: Do Proportional Electoral Laws Politicize Ethnicity?,2012-07-27,248.81,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/DPVRA5,Bootstrap Confidence Regions for Multidimensional Scaling Solutions,2013-06-11,6377.78,18,[],False,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,9
10.7910/DVN/1YK9ON,The Conditionality of Vote Buying Norms:  Experimental Evidence from Latin America,2013-05-06,1225.46,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/24724,The Basic Arithmetic of Legislative Decisions,2014-02-24,3743.62,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/NUACCP,Does Descriptive Representation Facilitate Women's Distinctive Voice? How Gender Composition and Decision Rules Affect Deliberation,2013-08-27,155.53,3,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/25540,When do the Rich Vote Less than the Poor and Why? Explaining Turnout Inequality across the World,2014-06-24,102.19,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/24797,Institutional Sources of Legitimate Authority,2014-03-18,47.22,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26612,What the Demolition of Public Housing Teaches Us About the Impact of Racial Threat on Political Behavior,2014-06-29,205059.32,34,[],False,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
10.7910/DVN/DYJVD4,Group Segregation and Urban Violence,2013-04-15,200.01,5,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/29129,Divided Government and the Fragmentation of American Law,2015-02-15,63.2,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/CJMKGX,Leader Incentives and Civil War Outcomes,2015-05-11,1483.32,9,[],True,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10.7910/DVN/27325,The Achilles Heel of Plurality Systems: Geography and Representation in Multi-Party Democracies,2014-09-12,1244.79,8,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27631,"Rising to the Top: Gender, Political Performance, and Party Leadership in Parliamentary Democracies",2014-10-20,414.44,2,[],False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/TLT65Z,The Better Angels of Our Nature: How the Anti-Prejudice Norm Affects Policy and Party Preferences in Great Britain and Germany,2013-02-12,14235.24,11,[],False,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
10.7910/DVN/28856,The Timeline of Elections: A Comparative Perspective,2015-03-02,1705486.62,33,"['AJPS Dataverse Codebook.pdf', 'AJPS Dataverse Codebook (Supplementary).pdf']",False,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
10.7910/DVN/24789,Assortative Mating on Ideology Could Operate Through Olfactory Cues,2014-03-18,95.23,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/29243,On Measuring Legislative Agenda Setting Power,2015-03-04,436.57,7,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26714,Explaining Explanations: How Legislators Explain their Policy Positions and How Citizens React,2014-07-28,4461.29,4,[],False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10.7910/DVN/WDA163,How many countries for multilevel modeling? A comparison of Frequentist and Bayesian approaches.,2012-10-29,1325.74,7,[],False,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
10.7910/DVN/96KNLB,A Natural Experiment in Proposal Power and Electoral Success,2013-04-15,20844.68,6,[],False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10.7910/DVN/MJSMJB,Dynamic Pie: A Strategy for Modeling Trade-Offs in Compositional Variables Over Time,2015-05-12,431.83,10,['Codebook_AJPS.xls'],True,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10.7910/DVN/27371,Institutional Characteristics and Regime Survival: Why Are Semi-Democracies Less Durable Than Autocracies and Democracies?,2014-09-29,3525.81,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/27241,Can Incarcerated Felons Be (Re)integrated into the Political System? Results from a Field Experiment,2014-09-03,188.79,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/OASXGA,Actor Fragmentation and Civil War Bargaining: How Internal Divisions Generate Civil Conflict,2012-07-27,1188.83,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/CV40VF,The Informative Power of Treaty Commitment: Using the Spatial Model to Address Selection Effects,2013-02-12,871.26,7,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26522,The Nature of Legal Change on the U.S. Supreme Court: Jurisprudential Regimes Theory and Its Alternatives,2014-06-14,146.39,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/AHMMUA,Backlash and Legitimation: Macro Political Responses to Supreme Court Decisions,2013-04-15,6.0,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/25615,Responsibility Attribution for Collective Decision Makers,2014-05-02,4815.17,16,[],False,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
10.7910/DVN/25707,Causes of Non-Compliance with International Law: A Field Experiment on Anonymous Incorporation,2014-06-18,753.9,3,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/WO5H2S,"Size, Democracy, and the Economic Costs of Running the Political System",2013-11-08,128.31,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27113,Social Protest and Policy Attitudes: The Case of the 2006 Immigrant Rallies,2014-08-19,1471.77,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/27624,Candidates or Districts? Reevaluating the Role of Race in Voter Turnout,2014-10-20,48612.3,3,[],False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/22892,Partisanship in a Social Setting,2013-11-11,59.59,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/29095,Performance Federalism and Local Democracy: Theory and Evidence from School Tax Referenda,2015-02-11,14861.02,26,[],False,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7
10.7910/DVN/23302,Presidents and Patronage,2013-11-12,581.06,8,['Codebook for Presidents and Patronage Obama Data 111113.docx'],False,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
10.7910/DVN/23063,"Ministerial Responsiveness in Westminster Systems: Institutional Choices and House of Commons Debate, 1832--1915",2013-12-31,19695.37,2,[],False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/UDUJEI,A Primary Cause of Partisanship?,2013-08-27,1224.51,14,[],False,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12
10.7910/DVN/FREK34,The strategic nature of compliance: An empirical evaluation of law implementation in the central monitoring system of the EU,2013-04-15,53.12,2,[],False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/0HHML7,A Primary Cause of Partisanship?  Nomination Systems and Legislator Ideology,2013-12-31,0.0,0,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/HZAXXB,Package Deals in EU Legislative Politics,2013-07-29,4751.71,5,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27191,: Comment on “The Complications of Controlling Agency Time Discretion: FDA Review Deadlines and Postmarket Drug Safety”,2014-08-26,395.77,4,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/HZAG9F,Name Recognition and Candidate Support,2013-02-12,27.97,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/28640,Opinion Backlash and Public Attitudes: Are Political Advances in Gay Rights Counterproductive?,2015-01-19,17704.82,15,[],False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10.7910/DVN/OO8ZCC,"Political Competition, Path Dependence, and the Strategy of Sustainable Energy Transitions",2012-10-29,943.51,6,[],False,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
10.7910/DVN/27063,Into the Words: Using Statutory Text to Explore the Impact of Federal Courts on State Policy Diffusion,2014-08-19,3809.09,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/WCH6ZH,Decomposing Audience Costs: Bringing the Audience Back into Audience Cost Theory,2015-04-21,139.6,5,['Decomposing Replication Codebook.pdf'],True,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
10.7910/DVN/6EBCGA,United Nations Peacekeeping and Civilian Protection in Civil War,2013-06-11,661.52,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/26943,What Makes An Agency Independent,2014-08-07,66.3,3,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/28870,Descriptive Representation and Judicial Outcomes in Multi-Ethnic Societies,2015-02-06,371.29,11,[],False,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8
10.7910/DVN/26586,Chief Justice Roberts’ Health Care Decision Disrobed: The Microfoundations of the Supreme Court’s Legitimacy,2014-06-25,49.47,2,[],False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/2EJIZJ,Signaling and Counter-Signaling in the Judicial Hierarchy: An Empirical Analysis of En Banc Review,2015-04-21,1094.84,1,[],True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/29375,Cardinals or Clerics? Congressional Committees and the Distribution of Pork,2015-03-17,14472.36,8,[],True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/24859,The Distributive Politics of Enforcement,2014-03-18,17.18,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/29040,Greater Expectations: A Field Experiment to Improve Accountability in Mali,2015-02-09,2910.74,5,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/29405,s for Open-Ended Survey Responses,2015-07-06,3696.27,38,[],False,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
10.7910/DVN/23851,"Immigration, Latinos, and White Partisan Politics: The New Democratic Defection",2013-12-31,14790.52,6,[],False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10.7910/DVN/24707,Xenophobic Rhetoric and Its Political Effects on Immigrants and Their Co-Ethnics,2014-02-24,87.07,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/RIOEAY,The Externalities of Inequality: Fear of Crime and Preferences for Redistribution in Western Europe,2015-06-04,210295.09,20,['codebook.pdf'],True,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
10.7910/DVN/27662,How Aspiration to Office Conditions the Impact of Government Participation on Party Platform Change,2014-10-22,412.5,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/28582,Campaign Contributions Facilitate Access to Congressional Officials: A Randomized Field Experiment,2015-01-06,3.94,2,[],False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/NAY8YW,When Pay Outs Pay Off: Conditional Cash-Transfers and Voting Behavior in Brazil 2002-2010,2013-02-12,6413.36,5,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/25505,The Hidden American Immigration Consensus: A Conjoint Analysis of Attitudes toward Immigrants,2014-04-15,1982.55,3,[],False,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
10.7910/DVN/28750,Voting Rights for Whom?: Examining the Effects of the Voting Rights Act on Latino Political Incorporation,2015-02-03,2742.06,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/HWW8DP,Identifying Irregularities in Mexican Local Elections,2013-07-29,2780.43,23,[],False,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12
10.7910/DVN/29080,Voting Against Your Constituents? How Lobbying Affects Representation,2015-02-12,4594.98,5,[],False,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
10.7910/DVN/25302,Courting the President: How Circuit Court Judges Alter Their Behavior for Promotion to the Supreme Court,2014-03-31,3588.07,3,[],False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/OMESOW,"War, the Presidency, and Legislative Voting Behavior",2012-05-30,1102.2,12,[],False,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
10.7910/DVN/29242,Legislative Capacity and Executive Unilateralism,2015-02-26,14.12,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/24975,Political Reinforcement: How Rising Inequality Curbs Manifested Welfare Generosity,2014-03-18,59.09,4,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/E9S0VN,"Responding to War on Capitol Hill: Battlefield Casualties, Congressional Response, and Public Support for the War in Iraq",2013-06-11,291.45,11,[],False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
10.7910/DVN/24507,A Checkpoint Effect? Evidence from a Natural Experiment on Travel Restrictions in the West Bank.,2014-01-27,49.41,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN1/22651,An Effective Approach to the Repeated Cross-Sectional Design,2013-11-08,15534.86,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27217,Everything to Everyone: The Electoral Consequences of Broad Policy Appeals in Europe,2014-09-03,68613.11,3,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/JCGCT5,Civil War and Social Cohesion: Lab-in-the-Field Evidence from Nepal,2013-07-29,137.03,3,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/LUBZFJ,"Electoral Choice, Ideological Conflict, and Political Participation",2013-07-29,4753.59,4,[],False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10.7910/DVN/5CVUVU,"How governments shape the risk of civil violence: India’s federal reorganization, 1950–56",2013-08-27,1068.02,4,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/R3KIIF,"An Integrated Theory of Budgetay Politics and Some Empirical Tests: the US National Budget, 1791-2010",2013-11-08,77.27,13,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13
10.7910/DVN/E5ZSZR,The Effects of Structures and Power on State Bargaining Strategies,2012-06-28,226.65,3,['McKibben_AJPSCodebook.pdf'],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/K9ARGB,Does Decentralization Improve Perceptions of Accountability? Attitudinal Evidence from Colombia,2013-05-06,285.4,4,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/UQLKRY,Mapping the Ideological Marketplace,2013-07-29,1310467.02,8,"['codebook_cands_mimp.txt', 'codebook_contributors_mimp.txt']",False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/HBPR8R,A Model of Endogenous Government Formation,2013-02-12,1488.01,4,[],False,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
10.7910/DVN/26490,"Its (Change in) the (Future) Economy, Stupid: Economic Indicators, the Media and Public Opinion",2014-06-11,145.38,2,['EconomicNewsCodebook.pdf'],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26638,Using Bayesian Aldrich-McKelvey Scaling to Study Citizens' Ideological Preferences and Perceptions,2014-07-02,602267.89,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/NMA2WY,Separating the Shirkers from the Workers? Making Sure Respondents Pay Attention on Self-Administered Surveys,2013-09-06,14721.36,14,[],False,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5
10.7910/DVN/27701,Legislative Veto Players and the Effects of International Human Rights Agreements,2014-10-27,553.26,6,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/23454,Voter Learning in State Primary Elections,2013-12-06,360.64,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26570,The Temporary Importance of Role Models for Women's Political Representation,2014-06-24,5035.12,44,[],False,0,2,0,0,30,0,0,0,0,0,0,0,0,0,0,0,32
10.7910/DVN/193ZDD,"IMF Conditionality, Government Partisanship, & the Progress of Economic Reforms",2015-05-13,610.4,21,['BeazerWoo2015codebook.pdf'],True,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9
10.7910/DVN/FHOJ3L,Dollars on the Sidewalk: Should U.S. Presidential Candidates Advertise in Uncontested States?,2013-08-27,41976.53,9,[],False,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
10.7910/DVN/UJYLT0,Elections and Democratization in Authoritarian Regimes,2012-10-29,110.49,3,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/VWBP3L,Making it Personal: Regime Type and Nuclear Proliferation,2013-09-06,2777.79,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/23972,"The Relationship Between Genes, Psychological Traits, and Political Participation",2013-12-31,22.86,4,[],False,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4
10.7910/DVN/DG6BS4,Ethnic Politics and Women's Empowerment in Africa: Ministerial Appointments to Executive Cabinets,2013-08-27,335.7,3,['Arriola_Johnson_AJPS_codebook.pdf'],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/UYGSCI,Behind the Curve: Clarifying the Best Approach to Calculating Predicted Probabilities and Marginal Effects from Limited Dependent Variable Models,2012-07-27,39.38,2,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/25531,"Conflict, Cooperation, and Institutional Change on the Commons",2014-06-24,44.23,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/SRLERE,What Drives the Swing Voter in Africa?,2013-02-12,301.57,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/23818,Arguing for a Negligible Effect,2013-12-31,2278.67,10,[],False,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8
10.7910/DVN/26662,Fear and Loathing Across Party Lines:  New Evidence on Group Polarization,2014-07-11,2923.96,5,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24220,The Fates of Challengers in US House Elections: The Role of Extended Party Networks in Supporting Candidates and Shaping Electoral Outcomes,2014-01-27,202122.2,63,[],False,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,26
10.7910/DVN/ZSDJGT,Why Vote with the Chief? Political Connections and Public Goods Provision in Zambia,2013-02-12,256.68,7,"['Chiefdom DataSet Codebook.pdf', 'Household DataSet Codebook.pdf']",False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10.7910/DVN/NMJAFC,Organizational Structure and the Optimal Design of Policymaking Panels: Evidence from Consensus Group Commission's Revenue Forecasts in the American States,2012-07-27,149.08,1,[],False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/25423,"Income, Democracy, and Leader Turnover",2014-04-17,62653.33,10,[],False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10.7910/DVN/29591,Does Compulsory Voting Increase Support for Leftist Policy?,2015-08-26,10287.18,15,[],True,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7
10.7910/DVN/24714,Comparative Politics and the Synthetic Control Method,2014-02-24,59.58,2,[],False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/23958,Regulation of Speech and Media Coverage of Corruption: An Empirical Analysis of the Mexican Press,2013-12-31,268.77,4,['StanigMexicoCodebook.pdf'],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7910/DVN/6TFUSP,"Distorted Communication, Unequal Representation: Constituents Communicate Less To Representatives Not Of Their Race",2013-07-29,3282.69,2,[],False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
